gameID,homeTeam,awayTeam,winTeam,loseTeam,date
221,20,11,,,11/17/21
222,23,7,,,11/17/21
223,24,5,,,11/17/21
224,6,10,,,11/18/21
225,15,29,,,11/18/21
226,14,30,,,11/18/21
227,17,26,,,11/18/21
228,8,22,,,11/18/21
229,28,27,,,11/18/21
230,4,12,,,11/19/21
231,9,10,,,11/19/21
232,2,13,,,11/19/21
233,3,21,,,11/19/21
234,16,20,,,11/19/21
235,18,30,,,11/19/21
236,8,5,,,11/19/21
237,23,7,,,11/19/21
238,25,27,,,11/19/21
239,19,11,,,11/20/21
240,12,18,,,11/20/21
241,29,15,,,11/20/21
242,1,4,,,11/20/21
243,2,20,,,11/20/21
244,16,21,,,11/20/21
245,17,14,,,11/20/21
246,24,22,,,11/20/21
247,25,28,,,11/20/21
248,30,7,,,11/21/21
249,9,13,,,11/21/21
250,5,19,,,11/21/21
251,23,8,,,11/21/21
252,10,27,,,11/21/21
253,6,3,,,11/22/21
254,29,4,,,11/22/21
255,1,20,,,11/22/21
256,2,11,,,11/22/21
257,5,12,,,11/22/21
258,16,21,,,11/22/21
259,18,17,,,11/22/21
260,26,23,,,11/22/21
261,28,14,,,11/22/21
262,25,22,,,11/22/21
263,9,15,,,11/23/21
264,19,13,,,11/23/21
265,24,8,,,11/23/21
266,30,7,,,11/23/21
267,6,23,,,11/24/21
268,12,13,,,11/24/21
269,21,4,,,11/24/21
270,2,3,,,11/24/21
271,11,5,,,11/24/21
272,14,27,,,11/24/21
273,16,9,,,11/24/21
274,17,15,,,11/24/21
275,18,29,,,11/24/21
276,20,28,,,11/24/21
277,26,1,,,11/24/21
278,10,22,,,11/24/21
279,25,24,,,11/24/21
280,30,9,,,11/26/21
281,4,17,,,11/26/21
282,19,23,,,11/26/21
283,21,5,,,11/26/21
284,12,27,,,11/26/21
285,14,1,,,11/26/21
286,20,29,,,11/26/21
287,26,2,,,11/26/21
288,8,16,,,11/26/21
289,28,18,,,11/26/21
290,10,24,,,11/26/21
291,13,25,,,11/26/21
292,22,17,,,11/27/21
293,1,19,,,11/27/21
294,3,23,,,11/27/21
295,5,15,,,11/27/21
296,6,21,,,11/27/21
297,11,4,,,11/27/21
298,7,29,,,11/27/21
299,28,18,,,11/27/21
300,30,10,,,11/28/21
301,12,16,,,11/28/21
302,14,25,,,11/28/21
303,27,2,,,11/28/21
304,13,9,,,11/28/21
305,22,21,,,11/29/21
306,15,8,,,11/29/21
307,5,4,,,11/29/21
308,11,20,,,11/29/21
309,17,12,,,11/29/21
310,7,6,,,11/29/21
311,26,29,,,11/29/21
312,28,24,,,11/29/21
313,30,18,,,11/29/21
314,3,19,,,11/30/21
315,27,14,,,11/30/21
316,23,10,,,11/30/21
317,24,9,,,11/30/21
318,25,13,,,11/30/21
319,12,1,,,12/01/21
320,21,8,,,12/01/21
321,29,17,,,12/01/21
322,2,22,,,12/01/21
323,15,6,,,12/01/21
324,16,4,,,12/01/21
325,18,7,,,12/01/21
326,20,11,,,12/01/21
327,30,25,,,12/01/21
328,19,5,,,12/02/21
329,27,16,,,12/02/21
330,14,20,,,12/02/21
331,23,9,,,12/02/21
332,24,26,,,12/02/21
333,12,15,,,12/03/21
334,29,6,,,12/03/21
335,1,22,,,12/03/21
336,3,17,,,12/03/21
337,11,21,,,12/03/21
338,7,18,,,12/03/21
339,28,2,,,12/03/21
340,10,23,,,12/03/21
341,13,30,,,12/03/21
342,19,8,,,12/04/21
343,3,5,,,12/04/21
344,16,15,,,12/04/21
345,7,14,,,12/04/21
346,10,26,,,12/04/21
347,24,2,,,12/04/21
348,25,30,,,12/04/21
349,6,28,,,12/05/21
350,1,4,,,12/05/21
351,27,29,,,12/05/21
352,11,18,,,12/05/21
353,4,22,,,12/06/21
354,9,20,,,12/06/21
355,12,29,,,12/06/21
356,15,14,,,12/06/21
357,5,8,,,12/06/21
358,16,6,,,12/06/21
359,17,1,,,12/06/21
360,23,26,,,12/06/21
361,10,21,,,12/06/21
362,24,30,,,12/06/21
363,7,3,,,12/07/21
364,26,19,,,12/07/21
365,13,2,,,12/07/21
366,4,22,,,12/08/21
367,6,5,,,12/08/21
368,9,29,,,12/08/21
369,12,19,,,12/08/21
370,15,16,,,12/08/21
371,27,20,,,12/08/21
372,11,3,,,12/08/21
373,14,7,,,12/08/21
374,17,28,,,12/08/21
375,18,8,,,12/08/21
376,10,24,,,12/08/21
377,25,21,,,12/08/21
378,30,2,,,12/08/21
379,22,28,,,12/09/21
380,14,13,,,12/09/21
381,26,8,,,12/09/21
382,4,25,,,12/10/21
383,12,7,,,12/10/21
384,1,3,,,12/10/21
385,27,19,,,12/10/21
386,11,16,,,12/10/21
387,17,6,,,12/10/21
388,18,9,,,12/10/21
389,20,13,,,12/10/21
390,23,2,,,12/10/21
391,30,21,,,12/11/21
392,29,28,,,12/11/21
393,6,25,,,12/11/21
394,14,11,,,12/11/21
395,15,5,,,12/11/21
396,22,10,,,12/11/21
397,26,8,,,12/11/21
398,19,16,,,12/12/21
399,9,3,,,12/12/21
400,20,7,,,12/12/21
401,26,18,,,12/12/21
402,24,17,,,12/12/21
403,13,21,,,12/12/21
404,6,15,,,12/13/21
405,12,10,,,12/13/21
406,27,25,,,12/13/21
407,1,11,,,12/13/21
408,2,16,,,12/13/21
409,14,22,,,12/13/21
410,7,4,,,12/13/21
411,8,29,,,12/13/21
412,30,23,,,12/13/21
413,3,27,,,12/14/21
414,19,10,,,12/14/21
415,5,9,,,12/14/21
416,24,23,,,12/14/21
417,6,11,,,12/15/21
418,21,1,,,12/15/21
419,22,15,,,12/15/21
420,7,13,,,12/15/21
421,16,12,,,12/15/21
422,20,18,,,12/15/21
423,26,4,,,12/15/21
424,8,17,,,12/15/21
425,24,14,,,12/15/21
426,25,29,,,12/15/21
427,28,30,,,12/15/21
428,12,9,,,12/16/21
429,3,22,,,12/16/21
430,27,5,,,12/16/21
431,11,19,,,12/16/21
432,23,29,,,12/16/21
433,21,15,,,12/17/21
434,1,8,,,12/17/21
435,2,10,,,12/17/21
436,17,13,,,12/17/21
437,28,26,,,12/17/21
438,18,16,,,12/17/21
439,24,4,,,12/17/21
440,25,14,,,12/17/21
441,9,11,,,12/18/21
442,3,21,,,12/18/21
443,27,10,,,12/18/21
444,20,30,,,12/18/21
445,2,19,,,12/18/21
446,16,6,,,12/18/21
447,28,29,,,12/18/21
448,5,13,,,12/19/21
449,9,15,,,12/19/21
450,14,24,,,12/19/21
451,25,26,,,12/19/21
452,1,6,,,12/19/21
453,3,8,,,12/19/21
454,17,7,,,12/19/21
455,22,18,,,12/19/21
456,23,4,,,12/19/21
457,2,22,,,12/20/21
458,27,21,,,12/20/21
459,5,11,,,12/20/21
460,14,20,,,12/20/21
461,28,4,,,12/20/21
462,10,25,,,12/20/21
463,30,26,,,12/20/21
464,3,29,,,12/21/21
465,15,12,,,12/21/21
466,19,9,,,12/21/21
467,18,24,,,12/21/21
468,7,17,,,12/21/21
469,13,23,,,12/21/21
470,1,21,,,12/22/21
471,2,6,,,12/22/21
472,5,27,,,12/22/21
473,16,11,,,12/22/21
474,20,8,,,12/22/21
475,25,30,,,12/22/21
476,12,11,,,12/23/21
477,21,18,,,12/23/21
478,22,1,,,12/23/21
479,15,9,,,12/23/21
480,19,29,,,12/23/21
481,7,16,,,12/23/21
482,8,4,,,12/23/21
483,23,20,,,12/23/21
484,28,17,,,12/23/21
485,10,14,,,12/23/21
486,24,3,,,12/23/21
487,13,26,,,12/23/21
488,19,1,,,12/25/21
489,16,2,,,12/25/21
490,23,10,,,12/25/21
491,13,3,,,12/25/21
492,28,7,,,12/25/21
493,15,21,,,12/26/21
494,6,27,,,12/26/21
495,25,14,,,12/26/21
496,29,22,,,12/26/21
497,20,18,,,12/26/21
498,26,9,,,12/26/21
499,5,12,,,12/26/21
500,30,8,,,12/26/21
501,4,11,,,12/27/21
502,1,5,,,12/27/21
503,17,2,,,12/27/21
504,26,28,,,12/27/21
505,23,14,,,12/27/21
506,24,7,,,12/27/21
507,30,3,,,12/27/21
508,21,16,,,12/28/21
509,15,29,,,12/28/21
510,27,22,,,12/28/21
511,11,13,,,12/28/21
512,17,19,,,12/28/21
513,18,6,,,12/28/21
514,10,8,,,12/28/21
515,25,20,,,12/28/21
516,9,19,,,12/29/21
517,12,4,,,12/29/21
518,2,30,,,12/29/21
519,5,1,,,12/29/21
520,14,13,,,12/29/21
521,26,15,,,12/29/21
522,23,20,,,12/29/21
523,24,28,,,12/29/21
524,25,7,,,12/29/21
525,3,22,,,12/30/21
526,21,16,,,12/30/21
527,29,6,,,12/30/21
528,8,10,,,12/30/21
529,2,23,,,12/31/21
530,12,5,,,12/31/21
